,年分,縣市,房貸負擔率(%),房貸負擔率(百分點)季變動值,房貸負擔率(百分點)年變動值,房價所得比(倍),房價所得比(倍)季變動值,房價所得比(倍)年變動值
0,2018,全國,36.9,-0.35,-2.0,9.0,-0.08,-0.46
1,2018,臺北市,61.56,0.02,-2.72,15.01,0.01,-0.63
2,2018,新北市,50.32,-1.98,-1.87,12.27,-0.48,-0.43
3,2018,臺中市,38.14,-1.17,-1.46,9.3,-0.28,-0.34
4,2018,彰化縣,34.54,-0.8,-0.83,8.42,-0.19,-0.18
5,2018,新竹縣,34.31,0.72,-1.62,8.37,0.18,-0.38
6,2018,桃園市,33.32,0.19,-0.78,8.12,0.05,-0.17
7,2018,宜蘭縣,32.93,0.28,-1.13,8.03,0.07,-0.26
8,2018,高雄市,32.56,-0.94,-2.37,7.94,-0.23,-0.56
9,2018,花蓮縣,32.31,-1.18,-1.49,7.88,-0.28,-0.35
10,2018,新竹市,31.81,-0.93,-4.33,7.76,-0.22,-1.04
11,2018,南投縣,31.72,0.17,-1.04,7.73,0.04,-0.24
12,2018,苗栗縣,31.35,0.79,-1.68,7.64,0.19,-0.39
13,2018,澎湖縣,30.59,1.77,-2.8,7.46,0.43,-0.66
14,2018,臺南市,29.53,-0.39,-1.61,7.2,-0.09,-0.37
15,2018,臺東縣,28.23,-0.83,-2.02,6.88,-0.2,-0.48
16,2018,雲林縣,27.04,-0.93,-3.43,6.59,-0.22,-0.82
17,2018,屏東縣,23.36,1.1,0.35,5.7,0.27,0.1
18,2018,嘉義市,22.99,-0.17,-0.36,5.61,-0.04,-0.07
19,2018,嘉義縣,21.9,-0.95,-0.93,5.34,-0.23,-0.22
20,2018,基隆市,21.58,-1.66,-2.57,5.26,-0.4,-0.61

