年分,縣市,房貸負擔率(%),房貸負擔率(百分點)季變動值,房貸負擔率(百分點)年變動值,房價所得比(倍),房價所得比(倍)季變動值,房價所得比(倍)年變動值
2017,全國,38.9,0.86,1.76,9.46,0.23,0.49
2017,臺北市,64.29,0.39,1.9,15.64,0.12,0.57
2017,新北市,52.19,0.74,0.38,12.7,0.2,0.18
2017,臺中市,39.6,1.0,0.92,9.63,0.26,0.29
2017,新竹市,36.14,-0.4,3.71,8.79,-0.08,0.96
2017,新竹縣,35.93,0.92,1.35,8.74,0.24,0.39
2017,彰化縣,35.38,-0.78,1.93,8.61,-0.18,0.53
2017,高雄市,34.93,1.3,1.36,8.5,0.33,0.39
2017,桃園市,34.1,-0.85,0.12,8.3,-0.19,0.09
2017,宜蘭縣,34.06,-0.63,2.04,8.29,-0.14,0.55
2017,花蓮縣,33.8,2.22,1.12,8.22,0.55,0.33
2017,澎湖縣,33.39,-1.39,2.23,8.12,-0.32,0.6
2017,苗栗縣,33.03,1.27,5.51,8.03,0.32,1.39
2017,南投縣,32.76,1.45,3.33,7.97,0.37,0.86
2017,臺南市,31.14,0.79,0.77,7.58,0.2,0.24
2017,雲林縣,30.47,1.22,2.43,7.41,0.31,0.64
2017,臺東縣,30.25,0.88,3.0,7.36,0.23,0.78
2017,基隆市,24.16,0.78,1.44,5.88,0.2,0.39
2017,嘉義市,23.35,-1.58,0.32,5.68,-0.38,0.12
2017,屏東縣,23.01,0.12,-0.48,5.6,0.04,-0.07
2017,嘉義縣,22.83,-0.13,-0.21,5.55,-0.02,-0.01
2018,全國,36.9,-0.35,-2.0,9.0,-0.08,-0.46
2018,臺北市,61.56,0.02,-2.72,15.01,0.01,-0.63
2018,新北市,50.32,-1.98,-1.87,12.27,-0.48,-0.43
2018,臺中市,38.14,-1.17,-1.46,9.3,-0.28,-0.34
2018,彰化縣,34.54,-0.8,-0.83,8.42,-0.19,-0.18
2018,新竹縣,34.31,0.72,-1.62,8.37,0.18,-0.38
2018,桃園市,33.32,0.19,-0.78,8.12,0.05,-0.17
2018,宜蘭縣,32.93,0.28,-1.13,8.03,0.07,-0.26
2018,高雄市,32.56,-0.94,-2.37,7.94,-0.23,-0.56
2018,花蓮縣,32.31,-1.18,-1.49,7.88,-0.28,-0.35
2018,新竹市,31.81,-0.93,-4.33,7.76,-0.22,-1.04
2018,南投縣,31.72,0.17,-1.04,7.73,0.04,-0.24
2018,苗栗縣,31.35,0.79,-1.68,7.64,0.19,-0.39
2018,澎湖縣,30.59,1.77,-2.8,7.46,0.43,-0.66
2018,臺南市,29.53,-0.39,-1.61,7.2,-0.09,-0.37
2018,臺東縣,28.23,-0.83,-2.02,6.88,-0.2,-0.48
2018,雲林縣,27.04,-0.93,-3.43,6.59,-0.22,-0.82
2018,屏東縣,23.36,1.1,0.35,5.7,0.27,0.1
2018,嘉義市,22.99,-0.17,-0.36,5.61,-0.04,-0.07
2018,嘉義縣,21.9,-0.95,-0.93,5.34,-0.23,-0.22
2018,基隆市,21.58,-1.66,-2.57,5.26,-0.4,-0.61
2019,全國,36.06,0.53,-0.84,8.79,0.13,-0.21
2019,新北市,48.59,-0.77,-1.73,11.85,-0.18,-0.42
2019,臺北市,59.25,1.18,-2.31,14.45,0.3,-0.56
2019,桃園市,30.16,-0.17,-3.16,7.35,-0.04,-0.77
